upstream_file,upstream_symbol,function_mangled,function_demangled,call_count,mapping_status,gap_priority,waiver_types,rust_refs,workload_ids,notes
inc/Minuit2/MinimumParameters.h,Vec,_ZNK4ROOT7Minuit217MinimumParameters3VecEv,ROOT::Minuit2::MinimumParameters::Vec() const,1474,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
inc/Minuit2/MinimumSeed.h,Error,_ZNK4ROOT7Minuit211MinimumSeed5ErrorEv,ROOT::Minuit2::MinimumSeed::Error() const,59,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
inc/Minuit2/MinimumSeed.h,Gradient,_ZNK4ROOT7Minuit211MinimumSeed8GradientEv,ROOT::Minuit2::MinimumSeed::Gradient() const,60,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
inc/Minuit2/MinimumSeed.h,Parameters,_ZNK4ROOT7Minuit211MinimumSeed10ParametersEv,ROOT::Minuit2::MinimumSeed::Parameters() const,146,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
inc/Minuit2/MinimumSeed.h,Precision,_ZNK4ROOT7Minuit211MinimumSeed9PrecisionEv,ROOT::Minuit2::MinimumSeed::Precision() const,28,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
inc/Minuit2/MinimumSeed.h,State,_ZNK4ROOT7Minuit211MinimumSeed5StateEv,ROOT::Minuit2::MinimumSeed::State() const,381,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
inc/Minuit2/MinimumState.h,Gradient,_ZNK4ROOT7Minuit212MinimumState8GradientEv,ROOT::Minuit2::MinimumState::Gradient() const,735,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
inc/Minuit2/MinimumState.h,Vec,_ZNK4ROOT7Minuit212MinimumState3VecEv,ROOT::Minuit2::MinimumState::Vec() const,366,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
inc/Minuit2/MinuitParameter.h,GetName,_ZNK4ROOT7Minuit215MinuitParameter7GetNameEv,ROOT::Minuit2::MinuitParameter::GetName() const,484,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
inc/Minuit2/MnFcn.h,Fcn,_ZNK4ROOT7Minuit25MnFcn3FcnEv,ROOT::Minuit2::MnFcn::Fcn() const,853,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
inc/Minuit2/MnFcn.h,Trafo,_ZNK4ROOT7Minuit25MnFcn5TrafoEv,ROOT::Minuit2::MnFcn::Trafo() const,1334,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
inc/Minuit2/MnUserParameterState.h,IntCovariance,_ZNK4ROOT7Minuit220MnUserParameterState13IntCovarianceEv,ROOT::Minuit2::MnUserParameterState::IntCovariance() const,32,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
inc/Minuit2/MnUserParameterState.h,IntParameters,_ZNK4ROOT7Minuit220MnUserParameterState13IntParametersEv,ROOT::Minuit2::MnUserParameterState::IntParameters() const,38,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
inc/Minuit2/MnUserParameterState.h,Parameters,_ZNK4ROOT7Minuit220MnUserParameterState10ParametersEv,ROOT::Minuit2::MnUserParameterState::Parameters() const,45,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
inc/Minuit2/MnUserParameterState.h,Trafo,_ZNK4ROOT7Minuit220MnUserParameterState5TrafoEv,ROOT::Minuit2::MnUserParameterState::Trafo() const,128,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
inc/Minuit2/MnUserParameters.h,Trafo,_ZNK4ROOT7Minuit216MnUserParameters5TrafoEv,ROOT::Minuit2::MnUserParameters::Trafo() const,417,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
inc/Minuit2/MnUserTransformation.h,InitialParValues,_ZNK4ROOT7Minuit220MnUserTransformation16InitialParValuesEv,ROOT::Minuit2::MnUserTransformation::InitialParValues() const,488,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
inc/Minuit2/MnUserTransformation.h,Parameters,_ZNK4ROOT7Minuit220MnUserTransformation10ParametersEv,ROOT::Minuit2::MnUserTransformation::Parameters() const,94,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
inc/Minuit2/MnUserTransformation.h,Precision,_ZNK4ROOT7Minuit220MnUserTransformation9PrecisionEv,ROOT::Minuit2::MnUserTransformation::Precision() const,553,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
inc/Minuit2/VariableMetricBuilder.h,ErrorUpdator,_ZNK4ROOT7Minuit221VariableMetricBuilder12ErrorUpdatorEv,ROOT::Minuit2::VariableMetricBuilder::ErrorUpdator() const,81,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
inc/Minuit2/VariableMetricBuilder.h,Estimator,_ZNK4ROOT7Minuit221VariableMetricBuilder9EstimatorEv,ROOT::Minuit2::VariableMetricBuilder::Estimator() const,81,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
src/HessianGradientCalculator.cxx,DeltaGradient,_ZNK4ROOT7Minuit225HessianGradientCalculator13DeltaGradientERKNS0_17MinimumParametersERKNS0_16FunctionGradientE,"ROOT::Minuit2::HessianGradientCalculator::DeltaGradient(ROOT::Minuit2::MinimumParameters const&, ROOT::Minuit2::FunctionGradient const&) const",15,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
src/HessianGradientCalculator.cxx,Precision,_ZNK4ROOT7Minuit225HessianGradientCalculator9PrecisionEv,ROOT::Minuit2::HessianGradientCalculator::Precision() const,165,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
src/MnHesse.cxx,ComputeAnalytical,_ZN4ROOT7Minuit212_GLOBAL__N_117ComputeAnalyticalERKNS0_7FCNBaseERKNS0_12MinimumStateERKNS0_20MnUserTransformationE,"ROOT::Minuit2::(anonymous namespace)::ComputeAnalytical(ROOT::Minuit2::FCNBase const&, ROOT::Minuit2::MinimumState const&, ROOT::Minuit2::MnUserTransformation const&)",1,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
src/MnHesse.cxx,ComputeNumerical,_ZN4ROOT7Minuit212_GLOBAL__N_116ComputeNumericalERKNS0_5MnFcnERKNS0_12MinimumStateERKNS0_20MnUserTransformationEjRKNS0_10MnStrategyE,"ROOT::Minuit2::(anonymous namespace)::ComputeNumerical(ROOT::Minuit2::MnFcn const&, ROOT::Minuit2::MinimumState const&, ROOT::Minuit2::MnUserTransformation const&, unsigned int, ROOT::Minuit2::MnStrategy const&)",15,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
src/MnScan.cxx,Scan,_ZN4ROOT7Minuit26MnScan4ScanEjjdd,"ROOT::Minuit2::MnScan::Scan(unsigned int, unsigned int, double, double)",1,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
src/MnUserParameterState.cxx,MinuitParameters,_ZNK4ROOT7Minuit220MnUserParameterState16MinuitParametersEv,ROOT::Minuit2::MnUserParameterState::MinuitParameters() const,12,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
src/MnUserParameterState.cxx,Name,_ZNK4ROOT7Minuit220MnUserParameterState4NameEj,ROOT::Minuit2::MnUserParameterState::Name(unsigned int) const,16,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
src/MnUserParameterState.cxx,Parameter,_ZNK4ROOT7Minuit220MnUserParameterState9ParameterEj,ROOT::Minuit2::MnUserParameterState::Parameter(unsigned int) const,380,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
src/MnUserParameterState.cxx,Precision,_ZNK4ROOT7Minuit220MnUserParameterState9PrecisionEv,ROOT::Minuit2::MnUserParameterState::Precision() const,44,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
src/MnUserParameters.cxx,Name,_ZNK4ROOT7Minuit216MnUserParameters4NameEj,ROOT::Minuit2::MnUserParameters::Name(unsigned int) const,16,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
src/MnUserParameters.cxx,Parameter,_ZNK4ROOT7Minuit216MnUserParameters9ParameterEj,ROOT::Minuit2::MnUserParameters::Parameter(unsigned int) const,381,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
src/MnUserParameters.cxx,Parameters,_ZNK4ROOT7Minuit216MnUserParameters10ParametersEv,ROOT::Minuit2::MnUserParameters::Parameters() const,12,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
src/MnUserParameters.cxx,Precision,_ZNK4ROOT7Minuit216MnUserParameters9PrecisionEv,ROOT::Minuit2::MnUserParameters::Precision() const,44,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
src/MnUserTransformation.cxx,GetName,_ZNK4ROOT7Minuit220MnUserTransformation7GetNameEj,ROOT::Minuit2::MnUserTransformation::GetName(unsigned int) const,58,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
src/MnUserTransformation.cxx,Name,_ZNK4ROOT7Minuit220MnUserTransformation4NameEj,ROOT::Minuit2::MnUserTransformation::Name(unsigned int) const,58,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
src/MnUserTransformation.cxx,Parameter,_ZNK4ROOT7Minuit220MnUserTransformation9ParameterEj,ROOT::Minuit2::MnUserTransformation::Parameter(unsigned int) const,937,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
src/math/Util.cxx,printTime,_ZN12_GLOBAL__N_19printTimeINSt3__16chrono8durationIxNS1_5ratioILl1ELl1000000000EEEEEEENS1_12basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEET_,"std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>> (anonymous namespace)::printTime<std::__1::chrono::duration<long long, std::__1::ratio<1l, 1000000000l>>>(std::__1::chrono::duration<long long, std::__1::ratio<1l, 1000000000l>>)",69,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
inc/Minuit2/AnalyticalGradientCalculator.h,AnalyticalGradientCalculator,_ZN4ROOT7Minuit228AnalyticalGradientCalculatorC2ERKNS0_7FCNBaseERKNS0_20MnUserTransformationE,"ROOT::Minuit2::AnalyticalGradientCalculator::AnalyticalGradientCalculator(ROOT::Minuit2::FCNBase const&, ROOT::Minuit2::MnUserTransformation const&)",4,missing,P2,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
inc/Minuit2/ContoursError.h,ContoursError,_ZN4ROOT7Minuit213ContoursErrorC2EjjNSt6__ROOT4spanIKNSt3__14pairIddEEEERKNS0_10MinosErrorESB_j,"ROOT::Minuit2::ContoursError::ContoursError(unsigned int, unsigned int, std::__ROOT::span<std::__1::pair<double, double> const>, ROOT::Minuit2::MinosError const&, ROOT::Minuit2::MinosError const&, unsigned int)",1,missing,P2,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
inc/Minuit2/ContoursError.h,operator(),_ZNK4ROOT7Minuit213ContoursErrorclEv,ROOT::Minuit2::ContoursError::operator()() const,1,missing,P2,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
inc/Minuit2/FunctionGradient.h,FunctionGradient,_ZN4ROOT7Minuit216FunctionGradientC2ERKNS0_8LAVectorE,ROOT::Minuit2::FunctionGradient::FunctionGradient(ROOT::Minuit2::LAVector const&),6,missing,P2,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
