x,observed,fitted,residual
29.5700000000,0.8920000000,0.9508154298,-0.0588154298
37.4100000000,1.9030000000,1.9126173826,-0.0096173826
39.1200000000,2.1500000000,2.1545246380,-0.0045246380
50.2400000000,3.6970000000,3.8760412150,-0.1790412150
61.3800000000,5.8700000000,5.6506365784,0.2193634216
66.2500000000,6.4210000000,6.3908395929,0.0301604071
73.4200000000,7.4220000000,7.4155211331,0.0064788669
95.5200000000,9.9440000000,10.0113074154,-0.0673074154
107.3200000000,11.0230000000,11.0710890760,-0.0480890760
122.0400000000,11.8700000000,12.1384229098,-0.2684229098
134.0300000000,12.7860000000,12.8414825738,-0.0554825738
163.1900000000,14.0670000000,14.1104538172,-0.0434538172
163.4800000000,13.9740000000,14.1206750417,-0.1466750417
175.7000000000,14.4620000000,14.5185343796,-0.0565343796
179.8600000000,14.4640000000,14.6407452394,-0.1767452394
211.2700000000,15.3810000000,15.3987890283,-0.0177890283
217.7800000000,15.4830000000,15.5272412283,-0.0442412283
219.1400000000,15.5900000000,15.5530852433,0.0369147567
262.5200000000,16.0750000000,16.2382085106,-0.1632085106
268.0100000000,16.3470000000,16.3099335886,0.0370664114
268.6200000000,16.1810000000,16.3177418003,-0.1367418003
336.2500000000,16.9150000000,17.0373750649,-0.1223750649
337.2300000000,17.0030000000,17.0462345144,-0.0432345144
339.3300000000,16.9780000000,17.0651104302,-0.0871104302
427.3800000000,17.7560000000,17.7631126169,-0.0071126169
428.5800000000,17.8080000000,17.7717774895,0.0362225105
432.6800000000,17.8680000000,17.8012756130,0.0667243870
528.9900000000,18.4810000000,18.4664497758,0.0145502242
531.0800000000,18.4860000000,18.4806380789,0.0053619211
628.3400000000,19.0900000000,19.1513121644,-0.0613121644
253.2400000000,16.0620000000,16.1105734782,-0.0485734782
273.1300000000,16.3370000000,16.3745194916,-0.0375194916
273.6600000000,16.3450000000,16.3810845698,-0.0360845698
282.1000000000,16.3880000000,16.4827741991,-0.0947741991
346.6200000000,17.1590000000,17.1295365385,0.0294634615
347.1900000000,17.1160000000,17.1345049465,-0.0185049465
348.7800000000,17.1640000000,17.1483133708,0.0156866292
351.1800000000,17.1230000000,17.1690172903,-0.0460172903
450.1000000000,17.9790000000,17.9249653330,0.0540346670
450.3500000000,17.9740000000,17.9267232645,0.0472767355
451.9200000000,18.0070000000,17.9377531325,0.0692468675
455.5600000000,17.9930000000,17.9632616726,0.0297383274
552.2200000000,18.5230000000,18.6243199578,-0.1013199578
553.5600000000,18.6690000000,18.6334456971,0.0355543029
555.7400000000,18.6170000000,18.6482985989,-0.0312985989
652.5900000000,19.3710000000,19.3248627676,0.0461372324
656.2000000000,19.3300000000,19.3510121850,-0.0210121850
14.1300000000,0.0800000000,0.1612717209,-0.0812717209
20.4100000000,0.2480000000,0.2685478159,-0.0205478159
31.3000000000,1.0890000000,1.1383033079,-0.0493033079
33.8400000000,1.4180000000,1.4408213243,-0.0228213243
39.7000000000,2.2780000000,2.2385533583,0.0394466417
48.8300000000,3.6240000000,3.6497121636,-0.0257121636
54.5000000000,4.5740000000,4.5616265565,0.0123734435
60.4100000000,5.5560000000,5.4996608358,0.0563391642
72.7700000000,7.2670000000,7.3261615465,-0.0591615465
75.2500000000,7.6950000000,7.6631463340,0.0318536660
86.8400000000,9.1360000000,9.0931448601,0.0428551399
94.8800000000,9.9590000000,9.9478397337,0.0111602663
96.4000000000,9.9570000000,10.0975169552,-0.1405169552
117.3700000000,11.6000000000,11.8267294069,-0.2267294069
139.0800000000,13.1380000000,13.1011147694,0.0368852306
147.7300000000,13.5640000000,13.5032487633,0.0607512367
158.6300000000,13.8710000000,13.9444603257,-0.0734603257
161.8400000000,13.9940000000,14.0623548796,-0.0683548796
192.1100000000,14.9470000000,14.9677463227,-0.0207463227
206.7600000000,15.4730000000,15.3048785365,0.1681214635
209.0700000000,15.3790000000,15.3535064285,0.0254935715
213.3200000000,15.4550000000,15.4401118958,0.0148881042
226.4400000000,15.9080000000,15.6864091818,0.2215908182
237.1200000000,16.1140000000,15.8666312620,0.2473687380
330.9000000000,17.0710000000,16.9884201238,0.0825798762
358.7200000000,17.1350000000,17.2330259591,-0.0980259591
370.7700000000,17.2820000000,17.3323458377,-0.0503458377
372.7200000000,17.3680000000,17.3481046237,0.0198953763
396.2400000000,17.4830000000,17.5323107450,-0.0493107450
416.5900000000,17.7640000000,17.6845112066,0.0794887934
484.0200000000,18.1850000000,18.1602046456,0.0247953544
495.4700000000,18.2710000000,18.2385282825,0.0324717175
514.7800000000,18.2360000000,18.3699663693,-0.1339663693
515.6500000000,18.2370000000,18.3758764510,-0.1388764510
519.4700000000,18.5230000000,18.4018198916,0.1211801084
544.4700000000,18.6270000000,18.5715927264,0.0554072736
560.1100000000,18.6650000000,18.6780991690,-0.0130991690
620.7700000000,19.0860000000,19.0978248565,-0.0118248565
18.9700000000,0.2140000000,0.2160307987,-0.0020307987
28.9300000000,0.9430000000,0.8856175501,0.0573824499
33.9100000000,1.4290000000,1.4495795092,-0.0205795092
40.0300000000,2.2410000000,2.2867742399,-0.0457742399
44.6600000000,2.9510000000,2.9892364832,-0.0382364832
49.8700000000,3.7820000000,3.8165694096,-0.0345694096
55.1600000000,4.7570000000,4.6675250863,0.0894749137
60.9000000000,5.6020000000,5.5760574271,0.0259425729
72.0800000000,7.1690000000,7.2305062708,-0.0615062708
85.1500000000,8.9200000000,8.8994790659,0.0205209341
97.0600000000,10.0550000000,10.1613774633,-0.1063774633
119.6300000000,12.0350000000,11.9804654096,0.0545345904
133.2700000000,12.8610000000,12.8006703463,0.0603296537
143.8400000000,13.4360000000,13.3286469977,0.1073530023
161.9100000000,14.1670000000,14.0648700420,0.1021299580
180.6700000000,14.7550000000,14.6638377888,0.0911622112
198.4400000000,15.1680000000,15.1198749926,0.0481250074
226.8600000000,15.6510000000,15.6938160072,-0.0428160072
229.6500000000,15.7460000000,15.7423289051,0.0036710949
258.2700000000,16.2160000000,16.1807992825,0.0352007175
273.7700000000,16.4450000000,16.3824443741,0.0625556259
339.1500000000,16.9650000000,17.0634982271,-0.0984982271
350.1300000000,17.1210000000,17.1599796432,-0.0389796432
362.7500000000,17.2060000000,17.2666299449,-0.0606299449
371.0300000000,17.2500000000,17.3344517960,-0.0844517960
393.3200000000,17.3390000000,17.5099755899,-0.1709755899
448.5300000000,17.7930000000,17.9139153824,-0.1209153824
473.7800000000,18.1230000000,18.0897816781,0.0332183219
511.1200000000,18.4900000000,18.3450954768,0.1449045232
524.7000000000,18.5660000000,18.4373276126,0.1286723874
548.7500000000,18.6450000000,18.6007014713,0.0442985287
551.6400000000,18.7060000000,18.6203709165,0.0856290835
574.0200000000,18.9240000000,18.7732423491,0.1507576509
623.8600000000,19.1000000000,19.1196211909,-0.0196211909
21.4600000000,0.3750000000,0.3169129890,0.0580870110
24.3300000000,0.4710000000,0.4906797233,-0.0196797233
33.4300000000,1.5040000000,1.3899567946,0.1140432054
39.2200000000,2.2040000000,2.1689448288,0.0350551712
44.1800000000,2.8130000000,2.9145398447,-0.1015398447
55.0200000000,4.7650000000,4.6450775369,0.1199224631
94.3300000000,9.8350000000,9.8927746161,-0.0577746161
96.4400000000,10.0400000000,10.1014066472,-0.0614066472
118.8200000000,11.9460000000,11.9260021072,0.0199978928
128.4800000000,12.5960000000,12.5322414511,0.0637585489
141.9400000000,13.3030000000,13.2397257002,0.0632742998
156.9200000000,13.9220000000,13.8795490313,0.0424509687
171.6500000000,14.4400000000,14.3934210157,0.0465789843
190.0000000000,14.9510000000,14.9146360774,0.0363639226
223.2600000000,15.6270000000,15.6294175453,-0.0024175453
223.8800000000,15.6390000000,15.6406574671,-0.0016574671
231.5000000000,15.8140000000,15.7738531075,0.0401468925
265.0500000000,16.3150000000,16.2715921499,0.0434078501
269.4400000000,16.3340000000,16.3281889111,0.0058110889
271.7800000000,16.4300000000,16.3576967268,0.0723032732
273.4600000000,16.4230000000,16.3786097722,0.0443902278
334.6100000000,17.0240000000,17.0224754260,0.0015245740
339.7900000000,17.0090000000,17.0692256747,-0.0602256747
349.5200000000,17.1650000000,17.1547147322,0.0102852678
358.1800000000,17.1340000000,17.2284919912,-0.0944919912
377.9800000000,17.3490000000,17.3902118623,-0.0412118623
394.7700000000,17.5760000000,17.5210838082,0.0549161918
429.6600000000,17.8480000000,17.7795635807,0.0684364193
468.2200000000,18.0900000000,18.0513572767,0.0386427233
487.2700000000,18.2760000000,18.1824758927,0.0935241073
519.5400000000,18.4040000000,18.4022952108,0.0017047892
523.0300000000,18.5190000000,18.4259905307,0.0930094693
612.9900000000,19.1330000000,19.0431601990,0.0898398010
638.5900000000,19.0740000000,19.2242393200,-0.1502393200
641.3600000000,19.2390000000,19.2440523909,-0.0050523909
622.0500000000,19.2800000000,19.1068477327,0.1731522673
631.5000000000,19.1010000000,19.1737314952,-0.0727314952
663.9700000000,19.3980000000,19.4075932083,-0.0095932083
646.9000000000,19.2520000000,19.2838187207,-0.0318187207
748.2900000000,19.8900000000,20.0529392591,-0.1629392591
749.2100000000,20.0070000000,20.0603470159,-0.0533470159
750.1400000000,19.9290000000,20.0678443565,-0.1388443565
647.0400000000,19.2680000000,19.2848261159,-0.0168261159
646.8900000000,19.3240000000,19.2837467686,0.0402532314
746.9000000000,20.0490000000,20.0417639492,0.0072360508
748.4300000000,20.1070000000,20.0540659524,0.0529340476
747.3500000000,20.0620000000,20.0453796417,0.0166203583
749.2700000000,20.0650000000,20.0608304399,0.0041695601
647.6100000000,19.2860000000,19.2889289287,-0.0029289287
747.7800000000,19.9720000000,20.0488366156,-0.0768366156
750.5100000000,20.0880000000,20.0708297111,0.0171702889
851.3700000000,20.7430000000,20.9461740769,-0.2031740769
845.9700000000,20.8300000000,20.8958245587,-0.0658245587
847.5400000000,20.9350000000,20.9104178933,0.0245821067
849.9300000000,21.0350000000,20.9327044429,0.1022955571
851.6100000000,20.9300000000,20.9484220825,-0.0184220825
849.7500000000,21.0740000000,20.9310229518,0.1429770482
850.9800000000,21.0850000000,20.9425229387,0.1424770613
848.2300000000,20.9350000000,20.9168432363,0.0181567637
